employee_id,full_name,department,job_title,hire_date,base_salary,unused_pto_days,avg_burnout_score,flight_risk_level
EMP-1039,Employee 39,Product,Product Manager,2021-01-29,128167,10,27,Low
EMP-1040,Employee 40,Sales,Account Executive,2025-08-14,90711,6,24,Low
EMP-1041,Employee 41,Customer Success,CS Specialist,2024-09-12,77819,23,32,Low
EMP-1042,Employee 42,HR,HR Business Partner,2024-06-18,75825,14,25,Low
EMP-1043,Employee 43,Finance,Financial Analyst,2025-10-06,84149,14,26,Low
EMP-1044,Employee 44,Engineering,Software Engineer,2024-05-26,129433,12,34,Low
EMP-1045,Employee 45,Product,Product Manager,2025-07-30,99213,6,24,Low
EMP-1046,Employee 46,Sales,Account Executive,2025-08-19,85124,22,21,Low
EMP-1047,Employee 47,Customer Success,CS Specialist,2024-01-10,63090,21,33,Low
EMP-1048,Employee 48,HR,HR Business Partner,2022-09-17,97027,8,29,Low
EMP-1049,Employee 49,Finance,Financial Analyst,2023-08-12,74641,19,22,Low
EMP-1050,Employee 50,Engineering,Software Engineer,2021-05-02,139481,16,31,Low
EMP-1051,Employee 51,Product,Product Manager,2022-05-28,91496,16,25,Low
EMP-1052,Employee 52,Sales,Account Executive,2024-09-30,91939,7,26,Low
EMP-1053,Employee 53,Customer Success,CS Specialist,2024-09-23,81519,18,28,Low
EMP-1054,Employee 54,HR,HR Business Partner,2024-11-07,76510,17,27,Low
EMP-1055,Employee 55,Finance,Financial Analyst,2023-06-23,64934,26,22,Low
EMP-1056,Employee 56,Engineering,Software Engineer,2023-08-16,112243,10,27,Low
EMP-1057,Employee 57,Product,Product Manager,2023-06-27,107418,22,26,Low
EMP-1058,Employee 58,Sales,Account Executive,2022-03-14,78676,26,24,Low
EMP-1059,Employee 59,Customer Success,CS Specialist,2021-12-15,86097,15,28,Low
EMP-1060,Employee 60,HR,HR Business Partner,2021-10-21,80124,18,26,Low
EMP-1061,Employee 61,Finance,Financial Analyst,2023-08-26,88365,10,24,Low
EMP-1062,Employee 62,Engineering,Software Engineer,2022-05-31,107168,25,31,Low
EMP-1063,Employee 63,Product,Product Manager,2022-06-02,117435,20,21,Low
EMP-1064,Employee 64,Sales,Account Executive,2021-08-20,76282,26,27,Low
EMP-1065,Employee 65,Customer Success,CS Specialist,2024-05-03,93325,14,30,Low
EMP-1066,Employee 66,HR,HR Business Partner,2025-08-21,93397,2,28,Low
EMP-1067,Employee 67,Finance,Financial Analyst,2021-10-05,92283,24,27,Low
EMP-1068,Employee 68,Engineering,Software Engineer,2022-03-15,92896,13,31,Low
EMP-1069,Employee 69,Product,Product Manager,2022-12-30,114376,11,21,Low
EMP-1070,Employee 70,Sales,Account Executive,2024-06-04,88376,24,21,Low
EMP-1071,Employee 71,Customer Success,CS Specialist,2025-03-04,77897,2,31,Low
EMP-1072,Employee 72,HR,HR Business Partner,2023-10-31,100291,19,27,Low
EMP-1073,Employee 73,Finance,Financial Analyst,2024-08-19,73900,23,29,Low
EMP-1074,Employee 74,Engineering,Software Engineer,2025-04-11,118225,27,24,Low
EMP-1075,Employee 75,Product,Product Manager,2024-11-17,117245,12,21,Low
EMP-1076,Employee 76,Sales,Account Executive,2024-11-14,89661,25,24,Low
EMP-1077,Employee 77,Customer Success,CS Specialist,2025-03-30,92507,12,32,Low
EMP-1078,Employee 78,HR,HR Business Partner,2024-10-31,102815,24,23,Low
EMP-1079,Employee 79,Finance,Financial Analyst,2022-01-03,88406,5,28,Low
EMP-1080,Employee 80,Engineering,Software Engineer,2025-03-04,114915,23,29,Low
EMP-1081,Employee 81,Product,Product Manager,2023-09-15,126852,11,26,Low
EMP-1082,Employee 82,Sales,Account Executive,2025-12-03,75692,26,22,Low
EMP-1083,Employee 83,Customer Success,CS Specialist,2021-06-07,62404,22,27,Low
EMP-1084,Employee 84,HR,HR Business Partner,2024-01-25,66716,11,23,Low
EMP-1085,Employee 85,Finance,Financial Analyst,2022-05-05,90816,18,22,Low
EMP-1086,Employee 86,Engineering,Software Engineer,2024-05-27,111378,19,29,Low
EMP-1087,Employee 87,Product,Product Manager,2025-08-10,101506,16,26,Low
EMP-1088,Employee 88,Sales,Account Executive,2022-01-14,71779,7,23,Low
EMP-1089,Employee 89,Customer Success,CS Specialist,2023-06-14,75304,6,27,Low
EMP-1090,Employee 90,HR,HR Business Partner,2024-08-25,63372,27,23,Low
EMP-1091,Employee 91,Finance,Financial Analyst,2021-05-16,86485,15,22,Low
EMP-1092,Employee 92,Engineering,Software Engineer,2025-04-15,116252,6,31,Low
EMP-1093,Employee 93,Product,Product Manager,2022-02-04,110270,11,19,Low
EMP-1094,Employee 94,Sales,Account Executive,2023-10-26,68254,24,22,Low
EMP-1095,Employee 95,Customer Success,CS Specialist,2025-01-26,77942,20,30,Low
EMP-1096,Employee 96,HR,HR Business Partner,2022-10-02,87312,24,21,Low
EMP-1097,Employee 97,Finance,Financial Analyst,2025-06-06,80042,2,25,Low
EMP-1098,Employee 98,Engineering,Software Engineer,2023-12-12,116699,16,31,Low
EMP-1099,Employee 99,Product,Product Manager,2024-09-23,125884,25,26,Low
EMP-1100,Employee 100,Sales,Account Executive,2025-11-02,91201,3,23,Low
